"ni.margin","ss","power","n.sims","runtime","sex"
0.02,800,0.457,1000,32.82,"f"
0.02,1200,0.632,1000,48.78,"f"
0.02,1600,0.721,1000,59.92,"f"
0.02,2000,0.825,1000,65.77,"f"
0.02,2400,0.891,1000,54.56,"f"
0.02,2800,0.922,1000,59.69,"f"
